complaint_type,primary_agency,total_requests,closed_requests,open_requests,avg_closure_days,median_closure_days,sla_miss_rate,aged_open_30d_plus
DOOR/WINDOW,HPD,13037,10780,2257,14.0,9.0,0.2044,1209
FLOORING/STAIRS,HPD,7758,6444,1314,12.9,8.0,0.3945,706
Tobacco or Non-Tobacco Sale,DOHMH,191,0,191,,,1.0,175
Indoor Air Quality,DOHMH,2982,2957,25,2.0,2.0,0.0097,20
New Tree Request,DPR,343,3,340,0.0,0.0,0.9906,271
Special Natural Area District (SNAD),DOB,16,16,0,12.7,5.5,0.3125,0
SNW,DOT,39,0,39,,,1.0,39
Mobile Food Vendor,DOHMH,815,309,506,60.0,60.0,1.0,280
Bike/Roller/Skate,NYPD,757,757,0,0.1,0.0,0.0,0
Posting Advertisement,NYPD,30,30,0,0.1,0.0,0.0,0
Tunnel Condition,DOT,1,1,0,8.0,8.0,0.0,0
Noise,DEP,16986,16241,745,4.6,3.0,0.4577,90
Unleashed Dog,DOHMH,1289,332,957,7.8,8.0,0.7546,870
Special Projects Inspection Team (SPIT),DOB,1676,1676,0,11.2,0.0,0.2023,0
Plumbing,DOB,1069,1069,0,11.8,4.0,0.2385,0
WATER LEAK,HPD,9821,8356,1465,12.8,8.0,0.3642,648
Electrical,DOB,652,652,0,5.5,4.0,0.0598,0
Building Drinking Water Tank,DOHMH,30,4,26,4.3,4.5,0.8621,22
LinkNYC,OTI,89,73,16,21.2,21.0,0.7412,11
Street Sweeping Complaint,DSNY,2157,2127,30,3.0,2.0,0.0121,14
Borough Office,DOB,16,16,0,0.1,0.0,0.0,0
Snow or Ice,DSNY,115,3,112,0.0,0.0,0.9739,112
Tattooing,DOHMH,61,24,37,60.0,60.0,1.0,22
Special Operations,DOB,29,29,0,8.5,5.0,0.1724,0
Derelict Vehicles,DSNY,10021,9965,56,1.3,1.0,0.0083,54
Lot Condition,DSNY,1742,30,1712,2.6,2.0,0.982,1529
Beach/Pool/Sauna Complaint,DOHMH,109,59,50,8.7,5.0,0.5729,29
ELEVATOR,HPD,504,407,97,14.5,9.0,0.4115,44
Food Poisoning,DOHMH,941,652,289,10.4,3.0,0.4708,180
Air Quality,DEP,2375,2312,63,4.0,3.0,0.0327,7
Street Sign - Dangling,DOT,1030,938,92,6.5,6.0,0.0902,60
Lost Property,TLC,1835,1835,0,2.9,3.0,0.0,0
PAINT/PLASTER,HPD,16331,14517,1814,10.6,6.0,0.1239,830
Graffiti,DSNY,4811,3376,1435,17.2,7.0,0.1726,855
Taxi Report,TLC,1153,0,1153,,,1.0,1091
Emergency Response Team (ERT),DOB,948,948,0,13.5,8.0,0.3629,0
Investigations and Discipline (IAD),DOB,177,177,0,6.5,4.0,0.0847,0
Illegal Animal Sold,DOHMH,75,21,54,6.3,6.0,0.7297,52
Lifeguard,DOHMH,12,6,6,17.8,19.0,0.8182,1
Elevator,DOB,6500,6500,0,8.6,3.0,0.1683,0
SAFETY,HPD,3779,3181,598,10.6,6.0,0.3186,288
Water Quality,DEP,313,284,29,12.4,4.5,0.3474,12
Bike Rack,DOT,244,170,74,14.1,4.0,0.518,33
Wayfinding,DOT,8,2,6,5.5,5.5,0.75,6
Panhandling,NYPD,2957,2957,0,0.1,0.0,0.0,0
Construction Safety Enforcement,DOB,2,2,0,4.5,4.5,0.0,0
Transfer Station Complaint,DSNY,2,2,0,2.5,2.5,0.0,0
Standing Water,DOHMH,723,237,486,6.8,4.0,0.696,314
Illegal Dumping,DSNY,10460,9868,592,2.7,2.0,0.0486,441
Pet Shop,DOHMH,3,0,3,,,1.0,3
Dept of Investigations,DOB,29,29,0,5.8,1.0,0.1034,0
Indoor Sewage,DOHMH,232,141,91,10.6,10.0,0.5187,59
Encampment,DHS,13553,12509,1044,2.5,0.0,0.126,587
Litter Basket Complaint,DSNY,482,479,3,2.6,2.0,0.0083,2
BEST/Site Safety,DOB,124,124,0,4.9,1.0,0.1048,0
Real Time Enforcement,DOB,1747,1747,0,1.3,1.0,0.004,0
Mosquitoes,DOHMH,95,94,1,0.0,0.0,0.0,0
For Hire Vehicle Complaint,TLC,12096,1242,10854,17.9,19.0,0.886,9502
Traffic Signal Condition,DOT,14833,14628,205,1.0,0.0,0.0661,203
Taxi Complaint,TLC,7941,47,7894,30.5,25.0,0.996,7040
PLUMBING,HPD,20367,16623,3744,12.0,7.0,0.2067,2285
Obstruction,DSNY,6082,5557,525,2.0,1.0,0.0827,417
