complaint_type,borough,agency,total_requests,open_requests,sla_miss_rate,aged_share_of_open,priority_score,priority_rank
Litter Basket Request,Queens,DSNY,210,2,0.0096,0.0,0.0857,341
Traffic,Brooklyn,NYPD,487,0,0.0,0.0,0.0848,342
Drug Activity,Manhattan,NYPD,485,0,0.0,0.0,0.084,343
Illegal Fireworks,Manhattan,NYPD,473,0,0.0,0.0,0.0815,344
Panhandling,Queens,NYPD,438,0,0.0,0.0,0.075,345
Drug Activity,Bronx,NYPD,424,0,0.0,0.0,0.0726,346
Real Time Enforcement,Manhattan,DOB,413,0,0.0048,0.0,0.0713,347
Drinking,Brooklyn,NYPD,390,0,0.0,0.0,0.062,348
Drug Activity,Brooklyn,NYPD,389,0,0.0,0.0,0.0611,349
Dead Animal,Staten Island,DSNY,388,0,0.0,0.0,0.0603,350
Drinking,Queens,NYPD,375,0,0.0,0.0,0.0538,351
Illegal Fireworks,Bronx,NYPD,358,0,0.0,0.0,0.0522,352
Violation of Park Rules,Bronx,DPR,357,0,0.0,0.0,0.0514,353
Drinking,Bronx,NYPD,354,0,0.0,0.0,0.0497,354
Noise - Vehicle,Staten Island,NYPD,344,0,0.0029,0.0,0.0472,355
Noise - Park,Bronx,NYPD,340,0,0.0,0.0,0.0457,356
Lost Property,Queens,TLC,338,0,0.0,0.0,0.0448,357
Illegal Posting,Staten Island,DSNY,331,0,0.003,0.0,0.044,358
Illegal Posting,Brooklyn,DSNY,302,0,0.0,0.0,0.0359,359
Noise - Commercial,Staten Island,NYPD,300,0,0.0,0.0,0.0351,360
Traffic,Manhattan,NYPD,283,0,0.0,0.0,0.031,361
Residential Disposal Complaint,Staten Island,DSNY,261,0,0.0,0.0,0.0277,362
Non-Emergency Police Matter,Staten Island,NYPD,246,0,0.0,0.0,0.0228,363
Real Time Enforcement,Queens,DOB,240,0,0.0042,0.0,0.019,364
Electrical,Queens,DOB,206,0,0.0583,0.0,0.0162,365
Illegal Posting,Manhattan,DSNY,231,0,0.0,0.0,0.0147,366
Bike/Roller/Skate,Manhattan,NYPD,225,0,0.0,0.0,0.0114,367
Illegal Fireworks,Staten Island,NYPD,220,0,0.0,0.0,0.009,368
Drinking,Manhattan,NYPD,207,0,0.0,0.0,0.0033,369
