complaint_type,borough,agency,total_requests,open_requests,sla_miss_rate,aged_share_of_open,priority_score,priority_rank
Graffiti,Brooklyn,DSNY,2341,871,0.2473,0.6475,0.6228,72
GENERAL,Manhattan,HPD,2654,620,0.2621,0.6274,0.6204,73
Dead/Dying Tree,Staten Island,DPR,640,367,0.6755,0.7548,0.6181,74
Street Condition,Bronx,DOT,4102,339,0.1076,0.7699,0.6174,75
UNSANITARY CONDITION,Queens,HPD,4772,1050,0.1666,0.4571,0.6168,76
Smoking or Vaping,Manhattan,DOHMH,602,299,0.9038,0.5518,0.6157,77
Unleashed Dog,Brooklyn,DOHMH,407,308,0.7571,0.8896,0.6157,78
Traffic Signal Condition,Brooklyn,DOT,4820,120,0.0668,1.0,0.6156,79
For Hire Vehicle Report,Queens,TLC,229,229,1.0,0.9301,0.6143,80
APPLIANCE,Manhattan,HPD,1244,349,0.5886,0.5731,0.6133,81
Dirty Condition,Queens,DSNY,4465,326,0.0731,0.7791,0.6132,82
Harboring Bees/Wasps,Brooklyn,DOHMH,220,219,0.9954,0.968,0.6131,83
APPLIANCE,Brooklyn,HPD,1833,449,0.4881,0.4699,0.6129,84
Dirty Condition,Brooklyn,DSNY,6278,318,0.0631,0.7138,0.6121,85
Smoking or Vaping,Brooklyn,DOHMH,670,299,0.8992,0.4615,0.6111,86
Rodent,Queens,DOHMH,1584,535,0.5116,0.443,0.6107,87
DOOR/WINDOW,Manhattan,HPD,3029,576,0.2113,0.6059,0.6076,88
Unleashed Dog,Queens,DOHMH,387,288,0.7507,0.9271,0.6065,89
Cannabis Retailer,Brooklyn,OOS,321,245,1.0,0.7347,0.6059,90
Dirty Condition,Staten Island,DSNY,1341,322,0.2568,0.9255,0.6039,91
FLOORING/STAIRS,Brooklyn,HPD,2367,342,0.407,0.5175,0.6017,92
DOOR/WINDOW,Brooklyn,HPD,4026,615,0.1845,0.4293,0.5941,93
Noise,Manhattan,DEP,5970,305,0.5293,0.0754,0.5936,94
Mobile Food Vendor,Manhattan,DOHMH,377,244,1.0,0.5902,0.5934,95
PAINT/PLASTER,Brooklyn,HPD,4918,588,0.1349,0.4507,0.5923,96
FLOORING/STAIRS,Manhattan,HPD,1761,322,0.4103,0.5528,0.5922,97
GENERAL,Brooklyn,HPD,3138,599,0.2286,0.4708,0.5908,98
PAINT/PLASTER,Bronx,HPD,5800,522,0.1127,0.4406,0.5872,99
Food Establishment,Bronx,DOHMH,376,249,0.9909,0.5582,0.5853,100
Traffic Signal Condition,Queens,DOT,3783,63,0.083,0.9683,0.5849,101
ELECTRIC,Bronx,HPD,2713,470,0.2029,0.5766,0.5843,102
Homeless Person Assistance,Manhattan,DHS,6967,33,0.0066,0.9394,0.5815,103
Noise,Brooklyn,DEP,5558,259,0.4363,0.1853,0.5806,104
WATER LEAK,Bronx,HPD,3220,396,0.3276,0.3561,0.577,105
PLUMBING,Queens,HPD,2361,461,0.207,0.5835,0.5757,106
Water System,Manhattan,DEP,3194,201,0.0822,0.8109,0.5738,107
ELECTRIC,Brooklyn,HPD,2747,406,0.1696,0.5813,0.5709,108
Cannabis Retailer,Queens,OOS,295,170,0.9705,0.6941,0.5698,109
Maintenance or Facility,Bronx,DPR,1271,395,0.353,0.6228,0.5693,110
Noise - Street/Sidewalk,Brooklyn,NYPD,13921,3,0.0003,1.0,0.5681,111
WATER LEAK,Manhattan,HPD,2082,320,0.3744,0.4375,0.5676,112
Smoking or Vaping,Bronx,DOHMH,396,185,0.9446,0.5405,0.5648,113
PAINT/PLASTER,Manhattan,HPD,3695,425,0.1224,0.4753,0.5638,114
Dead/Dying Tree,Manhattan,DPR,448,289,0.813,0.5433,0.5638,115
Traffic Signal Condition,Manhattan,DOT,3997,12,0.0533,1.0,0.5632,116
Sewer,Manhattan,DEP,864,262,0.3611,0.7901,0.5579,117
Illegal Dumping,Queens,DSNY,3140,188,0.0527,0.7872,0.5573,118
Street Sign - Missing,Queens,DOT,399,234,0.6,0.8376,0.5499,119
Illegal Dumping,Brooklyn,DSNY,3535,230,0.0526,0.6435,0.5497,120
Derelict Vehicles,Queens,DSNY,3791,21,0.0082,0.9524,0.5482,121
Damaged Tree,Bronx,DPR,1277,314,0.2436,0.6815,0.5457,122
Consumer Complaint,Brooklyn,DCWP,1669,396,0.4631,0.2096,0.5408,123
ELECTRIC,Manhattan,HPD,1815,312,0.1691,0.5481,0.5323,124
WATER LEAK,Queens,HPD,1085,237,0.3931,0.5612,0.5308,125
Smoking or Vaping,Queens,DOHMH,454,207,0.8499,0.3913,0.53,126
Street Light Condition,Staten Island,DOT,1425,438,0.2865,0.4087,0.5278,127
DOOR/WINDOW,Queens,HPD,1459,296,0.2257,0.5608,0.5263,128
Derelict Vehicles,Brooklyn,DSNY,3110,19,0.0103,0.9474,0.5253,129
Dirty Condition,Manhattan,DSNY,3479,40,0.0112,0.825,0.525,130
Rodent,Brooklyn,DOHMH,2854,461,0.242,0.2191,0.5246,131
Unleashed Dog,Bronx,DOHMH,217,159,0.7416,0.8868,0.5223,132
Cannabis Retailer,Manhattan,OOS,311,169,0.9294,0.4852,0.5219,133
APPLIANCE,Queens,HPD,727,228,0.4841,0.5526,0.5159,134
Overgrown Tree/Branches,Manhattan,DPR,293,225,0.828,0.5689,0.5158,135
Cannabis Retailer,Bronx,OOS,224,131,0.9744,0.5802,0.5149,136
Consumer Complaint,Manhattan,DCWP,1600,375,0.4092,0.168,0.5139,137
GENERAL,Queens,HPD,1756,490,0.1816,0.3612,0.5136,138
Dead/Dying Tree,Bronx,DPR,348,232,0.7468,0.5517,0.5108,139
SAFETY,Bronx,HPD,1110,165,0.3365,0.5879,0.5101,140
Illegal Dumping,Bronx,DSNY,1773,75,0.0412,0.8667,0.5099,141
Illegal Tree Damage,Manhattan,DPR,322,192,0.7755,0.5781,0.5085,142
Consumer Complaint,Queens,DCWP,1336,306,0.4594,0.2124,0.5056,143
PAINT/PLASTER,Queens,HPD,1711,265,0.1477,0.4981,0.5031,144
Homeless Person Assistance,Brooklyn,DHS,2303,8,0.0061,1.0,0.5004,145
Street Sign - Damaged,Queens,DOT,640,193,0.2989,0.7824,0.5002,146
Standing Water,Brooklyn,DOHMH,227,174,0.7746,0.6897,0.4994,147
Obstruction,Brooklyn,DSNY,1568,113,0.0777,0.7611,0.499,148
SAFETY,Brooklyn,HPD,1259,157,0.3157,0.4968,0.4953,149
Obstruction,Queens,DSNY,2284,139,0.0516,0.6331,0.494,150
Derelict Vehicles,Bronx,DSNY,2118,6,0.0038,1.0,0.4927,151
Obstruction,Staten Island,DSNY,717,142,0.1935,0.8803,0.4916,152
Sewer,Staten Island,DEP,641,142,0.2334,0.8521,0.4886,153
ELECTRIC,Queens,HPD,1129,229,0.2002,0.5633,0.4844,154
Damaged Tree,Manhattan,DPR,840,226,0.3288,0.5133,0.4832,155
FLOORING/STAIRS,Queens,HPD,793,162,0.3808,0.4877,0.476,156
SAFETY,Manhattan,HPD,762,128,0.3333,0.6172,0.4757,157
Noise - Residential,Brooklyn,NYPD,30750,2,0.0005,0.5,0.4753,158
Traffic Signal Condition,Bronx,DOT,1411,5,0.0517,1.0,0.4743,159
Encampment,Brooklyn,DHS,1780,136,0.0928,0.5368,0.4732,160
Curb Condition,Queens,DOT,803,106,0.6159,0.2264,0.4714,161
Noise,Queens,DEP,3244,79,0.3523,0.0759,0.4689,162
Graffiti,Manhattan,DSNY,1211,279,0.1074,0.5376,0.4682,163
Curb Condition,Brooklyn,DOT,1026,155,0.5169,0.1677,0.4644,164
Noise,Bronx,DEP,1647,79,0.4784,0.1013,0.4631,165
Water System,Staten Island,DEP,1532,73,0.1227,0.589,0.4611,166
Obstruction,Manhattan,DSNY,850,48,0.0567,0.9375,0.4602,167
Obstruction,Bronx,DSNY,659,79,0.1104,0.8861,0.4531,168
Rodent,Manhattan,DOHMH,1693,136,0.1929,0.3309,0.453,169
Homeless Person Assistance,Queens,DHS,1223,6,0.0065,1.0,0.4509,170
Dead Animal,Queens,DSNY,1019,9,0.0088,1.0,0.448,171
Food Poisoning,Manhattan,DOHMH,375,123,0.5071,0.6098,0.4445,172
Illegal Tree Damage,Bronx,DPR,228,144,0.6884,0.5347,0.4422,173
Consumer Complaint,Bronx,DCWP,932,175,0.3794,0.2229,0.4416,174
